Date,Price,Open,High,Low,Vol.,Change %
2020-05-01,35.55,26.98,36.98,25.5,28.96K,83.91%
2020-04-01,19.33,26,36.4,15.98,637.21K,-15.00%
2020-03-01,22.74,48.95,53.9,21.65,7.36M,-54.99%
2020-02-01,50.52,56.16,60,50.05,5.27M,-13.14%
2020-01-01,58.16,66.41,71.75,57.71,5.80M,-11.88%
2019-12-01,66,60.73,68.99,60.3,4.45M,5.72%
2019-11-01,62.43,59.45,64.6,59.4,4.79M,3.65%
2019-10-01,60.23,59.38,62.34,56.15,5.61M,-0.90%
2019-09-01,60.78,58.8,71.95,57.23,5.63M,0.58%
2019-08-01,60.43,64.09,64.54,55.88,5.98M,-7.27%
2019-07-01,65.17,65.05,67.65,61.29,5.71M,-2.07%
2019-06-01,66.55,61.64,66.85,59.45,5.70M,3.19%
2019-05-01,64.49,71.73,73.4,64.37,6.13M,-11.41%
2019-04-01,72.8,67.58,75.6,67.58,5.49M,6.45%
2019-03-01,68.39,66.48,68.89,64.02,4.84M,3.57%
2019-02-01,66.03,61.06,67.73,60.46,4.55M,6.69%
2019-01-01,61.89,54.12,63.15,52.51,5.48M,15.04%
2018-12-01,53.8,59.98,63.73,49.93,4.73M,-8.36%
2018-11-01,58.71,74.69,74.99,57.5,6.26M,-22.21%
2018-10-01,75.47,82.79,86.74,75.09,6.90M,-8.76%
2018-09-01,82.72,77.69,82.87,75.64,4.69M,6.85%
2018-08-01,77.42,74.07,78.03,70.3,4.73M,4.27%
2018-07-01,74.25,78.55,79.51,71.19,5.56M,-6.53%
2018-06-01,79.44,77.71,79.7,72.45,5.97M,2.38%
2018-05-01,77.59,74.65,80.5,72.38,6.37M,3.22%
2018-04-01,75.17,69.32,75.47,66.69,6.23M,6.97%
2018-03-01,70.27,64.57,71.05,63.19,5.34M,6.83%
2018-02-01,65.78,69,70.02,61.76,5.66M,-4.74%
2018-01-01,69.05,66.55,71.28,66.24,5.48M,3.26%
2017-12-01,66.87,62.74,67.1,61.13,4.86M,5.19%
2017-11-01,63.57,61.07,64.65,60,6.25M,3.58%
2017-10-01,61.37,56.73,61.41,55.06,6.55M,6.66%
2017-09-01,57.54,52.84,59.49,51.99,5.05M,9.85%
2017-08-01,52.38,52.7,53.64,50,6.33M,-0.51%
2017-07-01,52.65,48.95,52.92,46.11,5.44M,9.87%
2017-06-01,47.92,51.17,51.45,44.35,6.85M,-4.75%
2017-05-01,50.31,51.88,54.67,46.64,7.34M,-2.75%
2017-04-01,51.73,53.62,56.65,50.45,5.47M,-2.08%
2017-03-01,52.83,56.45,57.05,49.71,6.24M,-4.96%
2017-02-01,55.59,55.55,57.45,54.44,5.08M,-0.20%
2017-01-01,55.7,57.05,58.37,53.58,5.55M,-1.97%
2016-12-01,56.82,51.72,57.89,51.51,5.16M,12.58%
2016-11-01,50.47,48.72,50.49,43.57,6.24M,4.49%
2016-10-01,48.3,50.02,53.73,47.98,5.41M,-1.55%
2016-09-01,49.06,46.98,50.14,45.09,5.44M,4.29%
2016-08-01,47.04,43.11,51.22,41.51,5.62M,10.79%
2016-07-01,42.46,49.9,50.75,41.8,4.89M,-14.53%
